MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.freud.com/products/DCB518ASTS06G,https://www.freud.com/documentation/DCB518ASTS06G.pdf,,,,,10001,Abrasives,Abrasive Belts,Sanding Belts,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud America Inc,Freud®,Diablo®,DCB518ASTS06G,,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Belts,"Freud America Inc Freud, Sanding Belt, Diablo®, DCB518ASTS06G",DISC CUT OFF 1/2X18X7/8 MTL,Freud® Diablo® DCB518ASTS06G Sanding Belt,"Freud® Diablo® DCB518ASTS06G Sanding Belt, Engineered for heavy-duty industrial performance and maximum service life.",Diablo® Sanding Belt,"Experience superior sanding performance with the Freud® Diablo 1/2""x18"" Sanding Belt, designed for precision and durability. This 6-piece set ensures you have the right tools to achieve a flawless finish on your projects.",Premium aluminum oxide for long-lasting sharpness,"Ideal for woodworking, metalworking, and more","Versatile 1/2""x18"" size fits a variety of sanders",Convenient 6-pack for extended use and value.,,,,,,,,,,,,,,,,,,ANSI Compliant|ISO 9001,,,,Sanding Belt,Diameter,1/2,in,Thickness,18,in,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,6,6/PK,,1/2,in,,,18,in,,,,,FREUD_DCB518ASTS06G.jpg,FREUD_DCB518ASTS06G_1.jpg,FREUD_DCB518ASTS06G_2.jpg,FREUD_DCB518ASTS06G_3.jpg,FREUD_DCB518ASTS06G_4.jpg,,,,,FREUD_DCB518ASTS06G_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100075678/,https://multimedia.3m.com/mws/media/3MABR-7100075678/safety-data-sheet.pdf,,,,,10001,Abrasives,Abrasive Discs,Film Discs,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Co,3M™,Cubitron™ II,3MABR-7100075678,3MABR7100075678,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Discs,"3M Co 3M, Sanding Disc, Cubitron™ II, 3MABR-7100075678      ",DISC CUT OFF 5X.045X7/8 MTL,3M™ Cubitron™ II 3MABR-7100075678 Sanding Disc,"3M™ Cubitron™ II 3MABR-7100075678 Sanding Disc, Engineered for heavy-duty industrial performance and maximum service life.",Cubitron™ II Sanding Disc,"Experience superior sanding performance with the 3M 775L Stikit Film P150, featuring Cubitron II technology for faster cutting and longer life. Each box contains 50 high-quality sanding discs designed for a variety of applications, ensuring a smooth finish every time.",Cubitron II technology for enhanced cutting efficiency,Durable film backing for improved tear resistance,P150 grit for versatile sanding applications,Convenient Stikit adhesive backing for easy disc changes,,,,,,,,,,,,,,,,,,ISO 9001|RoHS Compliant,,,,Sanding Disc,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,50,Box,,,,,,,,,,,,3M_3MABR-7100075678.jpg,3M_3MABR-7100075678_1.jpg,3M_3MABR-7100075678_2.jpg,3M_3MABR-7100075678_3.jpg,3M_3MABR-7100075678_4.jpg,https://multimedia.3m.com/mws/media/3MABR-7100075678/safety-data-sheet.pdf,,,,3M_3MABR-7100075678_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100045865/,https://multimedia.3m.com/mws/media/3MABR-7100045865/safety-data-sheet.pdf,,,,,10001,Abrasives,Abrasive Discs,Film Discs,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Co,3M™,Cubitron™ II,3MABR-7100045865,3MABR7100045865,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Discs,"3M Co 3M, Sanding Disc, Cubitron™ II, 3MABR-7100045865      ",DISC CUT OFF 5X.045X7/8 MTL,3M™ Cubitron™ II 3MABR-7100045865 Sanding Disc,"3M™ Cubitron™ II 3MABR-7100045865 Sanding Disc, Engineered for heavy-duty industrial performance and maximum service life.",Cubitron™ II Sanding Disc,"Experience superior sanding performance with the 3M 775L Stikit Film P120, featuring Cubitron II technology for faster cutting and longer life. Each box contains 50 high-quality sanding discs designed for efficiency and precision in your abrasive applications.",Cubitron II technology for enhanced cutting speed,Durable film backing for improved tear resistance,Stikit adhesive for easy attachment and removal,P120 grit for versatile sanding applications.,,,,,,,,,,,,,,,,,,ISO 9001|RoHS Compliant,,,,Sanding Disc,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,50,Box,,,,,,,,,,,,3M_3MABR-7100045865.jpg,3M_3MABR-7100045865_1.jpg,3M_3MABR-7100045865_2.jpg,3M_3MABR-7100045865_3.jpg,3M_3MABR-7100045865_4.jpg,https://multimedia.3m.com/mws/media/3MABR-7100045865/safety-data-sheet.pdf,,,,3M_3MABR-7100045865_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100048736/,https://multimedia.3m.com/mws/media/3MABR-7100048736/safety-data-sheet.pdf,,,,,10001,Abrasives,Abrasive Discs,Film Discs,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Co,3M™,Cubitron™ II,3MABR-7100048736,3MABR7100048736,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Discs,"3M Co 3M, Sanding Disc, Cubitron™ II, 3MABR-7100048736      ",DISC CUT OFF 5X.045X7/8 MTL,3M™ Cubitron™ II 3MABR-7100048736 Sanding Disc,"3M™ Cubitron™ II 3MABR-7100048736 Sanding Disc, Engineered for heavy-duty industrial performance and maximum service life.",Cubitron™ II Sanding Disc,"Experience superior sanding performance with the 3M 775L Stikit Film P80 - Cubitron II, designed for efficient material removal and a flawless finish. Each box contains 50 high-quality sanding discs that adhere securely, ensuring a smooth workflow and exceptional durability.",Advanced Cubitron II technology for faster cutting,Stikit adhesive backing for easy disc changes,Durable film backing for enhanced tear resistance,"Ideal for a variety of surfaces, including metal and wood",,,,,,,,,,,,,,,,,,ISO 9001|RoHS Compliant,,,,Sanding Disc,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,50,Box,,,,,,,,,,,,3M_3MABR-7100048736.jpg,3M_3MABR-7100048736_1.jpg,3M_3MABR-7100048736_2.jpg,3M_3MABR-7100048736_3.jpg,3M_3MABR-7100048736_4.jpg,https://multimedia.3m.com/mws/media/3MABR-7100048736/safety-data-sheet.pdf,,,,3M_3MABR-7100048736_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100075690/,https://multimedia.3m.com/mws/media/3MABR-7100075690/safety-data-sheet.pdf,,,,,10001,Abrasives,Abrasive Discs,Film Discs,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Co,3M™,Cubitron™ II,3MABR-7100075690,3MABR7100075690,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Discs,"3M Co 3M, Sanding Disc, Cubitron™ II, 3MABR-7100075690      ",DISC CUT OFF 5X.045X7/8 MTL,3M™ Cubitron™ II 3MABR-7100075690 Sanding Disc,"3M™ Cubitron™ II 3MABR-7100075690 Sanding Disc, Engineered for heavy-duty industrial performance and maximum service life.",Cubitron™ II Sanding Disc,"Experience superior sanding performance with the 3M 775L Stikit Film P180, featuring Cubitron II technology for faster cutting and longer life. Each box contains 50 high-quality sanding discs designed for a variety of applications, ensuring a smooth finish every time.",Cubitron II technology for exceptional cutting speed,Durable film backing for enhanced flexibility,Stikit adhesive for easy attachment and removal,P180 grit for versatile sanding applications,,,,,,,,,,,,,,,,,,ISO 9001|RoHS Compliant,,,,Sanding Disc,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,50,Box,,,,,,,,,,,,3M_3MABR-7100075690.jpg,3M_3MABR-7100075690_1.jpg,3M_3MABR-7100075690_2.jpg,3M_3MABR-7100075690_3.jpg,3M_3MABR-7100075690_4.jpg,https://multimedia.3m.com/mws/media/3MABR-7100075690/safety-data-sheet.pdf,,,,3M_3MABR-7100075690_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100075692/,https://multimedia.3m.com/mws/media/3MABR-7100075692/safety-data-sheet.pdf,,,,,10001,Abrasives,Abrasive Discs,Film Discs,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Co,3M™,Cubitron™ II,3MABR-7100075692,3MABR7100075692,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Discs,"3M Co 3M, Sanding Disc, Cubitron™ II, 3MABR-7100075692      ",DISC CUT OFF 5X.045X7/8 MTL,3M™ Cubitron™ II 3MABR-7100075692 Sanding Disc,"3M™ Cubitron™ II 3MABR-7100075692 Sanding Disc, Engineered for heavy-duty industrial performance and maximum service life.",Cubitron™ II Sanding Disc,"Experience superior sanding performance with the 3M 775L Stikit Film P220, featuring Cubitron II technology for faster cutting and longer-lasting durability. Each box contains 50 high-quality sanding discs designed to deliver exceptional results on a variety of surfaces.",Cubitron II technology for efficient cutting,Stikit adhesive backing for easy disc changes,Durable film backing for enhanced tear resistance,P220 grit for fine sanding applications.,,,,,,,,,,,,,,,,,,ISO 9001|RoHS Compliant,,,,Sanding Disc,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,50,Box,,,,,,,,,,,,3M_3MABR-7100075692.jpg,3M_3MABR-7100075692_1.jpg,3M_3MABR-7100075692_2.jpg,3M_3MABR-7100075692_3.jpg,3M_3MABR-7100075692_4.jpg,https://multimedia.3m.com/mws/media/3MABR-7100075692/safety-data-sheet.pdf,,,,3M_3MABR-7100075692_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.3m.com/3M/en_US/p/d/3MABR-7100145365/,https://multimedia.3m.com/mws/media/3MABR-7100145365/safety-data-sheet.pdf,,,,,10001,Abrasives,Abrasive Discs,Film Discs,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Co,3M™,Cubitron™ II,3MABR-7100145365,3MABR7100145365,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Discs,"3M Co 3M, Sanding Disc, Cubitron™ II, 3MABR-7100145365      ",DISC CUT OFF 5X.045X7/8 MTL,3M™ Cubitron™ II 3MABR-7100145365 Sanding Disc,"3M™ Cubitron™ II 3MABR-7100145365 Sanding Disc, Engineered for heavy-duty industrial performance and maximum service life.",Cubitron™ II Sanding Disc,"Experience superior sanding performance with the 3M 775L Stikit Film P320, featuring Cubitron II technology for exceptional durability and efficiency. Each box contains 50 high-quality sanding discs designed to deliver a consistent finish on a variety of surfaces.",Cubitron II technology for faster cutting and longer life,Stikit adhesive backing for easy disc changes,P320 grit for a fine finish on various materials,50 discs per box for extended use and convenience,,,,,,,,,,,,,,,,,,ISO 9001|RoHS Compliant,,,,Sanding Disc,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,50,Box,,,,,,,,,,,,3M_3MABR-7100145365.jpg,3M_3MABR-7100145365_1.jpg,3M_3MABR-7100145365_2.jpg,3M_3MABR-7100145365_3.jpg,3M_3MABR-7100145365_4.jpg,https://multimedia.3m.com/mws/media/3MABR-7100145365/safety-data-sheet.pdf,,,,3M_3MABR-7100145365_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.mirka.com/en-us/products/5B-332-080,https://www.mirka.com/technical-sheets/5B-332-080.pdf,,,,,10001,Abrasives,Abrasive Discs,Film Discs,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc,Mirka®,HIOLIT,5B-332-080,5B332080,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Discs,"Mirka USA Inc Mirka, Sanding Disc, HIOLIT, 5B-332-080       ",DISC CUT OFF 5X.045X7/8 MTL,Mirka® HIOLIT 5B-332-080 Sanding Disc,"Mirka® HIOLIT 5B-332-080 Sanding Disc, Engineered for heavy-duty industrial performance and maximum service life.",HIOLIT Sanding Disc,"Experience superior sanding performance with the Mirka® HIOLIT 5"" P80 sanding disc, designed for efficient material removal and a smooth finish. Ideal for both professional and DIY applications, this durable abrasive disc ensures long-lasting use and exceptional results on various surfaces.",High-quality HIOLIT abrasive for effective sanding,"5"" diameter for versatile compatibility",P80 grit for aggressive material removal,Durable construction for extended lifespan,,,,,,,,,,,,,,,,,,ISO 14001|Dust-Free Certified,,,,Sanding Disc,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,1,Each,,,,,,,,,,,,MIRKA_5B-332-080.jpg,MIRKA_5B-332-080_1.jpg,MIRKA_5B-332-080_2.jpg,MIRKA_5B-332-080_3.jpg,MIRKA_5B-332-080_4.jpg,,,,,MIRKA_5B-332-080_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.mirka.com/en-us/products/5B-332-120,https://www.mirka.com/technical-sheets/5B-332-120.pdf,,,,,10001,Abrasives,Abrasive Discs,Film Discs,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc,Mirka®,HIOLIT,5B-332-120,5B332120,Abrasives & Polishing>Sandpaper & Abrasive Pads>Sanding Discs,"Mirka USA Inc Mirka, Sanding Disc, HIOLIT, 5B-332-120       ",DISC CUT OFF 5X.045X7/8 MTL,Mirka® HIOLIT 5B-332-120 Sanding Disc,"Mirka® HIOLIT 5B-332-120 Sanding Disc, Engineered for heavy-duty industrial performance and maximum service life.",HIOLIT Sanding Disc,"Experience superior sanding performance with the Mirka® HIOLIT 5"" P120 sanding disc, designed for efficient material removal and a smooth finish. Ideal for both professional and DIY projects, this versatile abrasive disc ensures durability and precision in every application.",High-quality HIOLIT abrasive for long-lasting performance,5-inch diameter for compatibility with standard sanders,P120 grit for effective material removal and surface preparation,"Suitable for a variety of materials including wood, metal, and composites.",,,,,,,,,,,,,,,,,,ISO 14001|Dust-Free Certified,,,,Sanding Disc,Abrasive Material,Aluminum Oxide,,Material Application,"Metal, Stainless Steel",,Max Speed,13300,rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,1,Each,,,,,,,,,,,,MIRKA_5B-332-120.jpg,MIRKA_5B-332-120_1.jpg,MIRKA_5B-332-120_2.jpg,MIRKA_5B-332-120_3.jpg,MIRKA_5B-332-120_4.jpg,,,,,MIRKA_5B-332-120_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
https://www.mirka.com/en-us/products/9A-570-240,https://www.mirka.com/technical-sheets/9A-570-240.pdf,,,,,10001,Hardware,General,Industrial Hardware,,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc,Mirka®,Abranet®,9A-570-240,9A570240,Industrial Supplies & Hardware>General Hardware,"Mirka USA Inc Mirka, Industrial Component, 9A-570-240       ",INDUSTRIAL COMPONENT 9A-570-240,Mirka® Abranet® 9A-570-240 Industrial Component,"Mirka® Abranet® 9A-570-240 Industrial Component, Engineered for heavy-duty industrial performance and maximum service life.",Abranet® Industrial Component,"Experience superior sanding performance with Mirka® Abranet 2.75x30, designed for efficient dust extraction and a smoother finish. Ideal for a variety of surfaces, this innovative sanding solution enhances productivity while minimizing cleanup time.",Advanced mesh design for effective dust extraction,Durable construction for long-lasting use,"Versatile application on wood, metal, and composites",Compatible with a range of sanding tools and machines,,,,,,,,,,,,,,,,,,ISO 14001|Dust-Free Certified,,,,Industrial Component,Length,2-3/4,in,Width,30,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 Year Manufacturer, 1 Year Labor and Parts",,1,Each,,2-3/4,in,,,30,in,,,,,MIRKA_9A-570-240.jpg,MIRKA_9A-570-240_1.jpg,MIRKA_9A-570-240_2.jpg,MIRKA_9A-570-240_3.jpg,MIRKA_9A-570-240_4.jpg,,,,,MIRKA_9A-570-240_Specification_Sheet.pdf,,,,,,,,,,,,,,,,United States,No,Yes
